name,draw_rate,decisiveness,p1_winrate,mean_plies,mean_branching,opening_entropy,distinct_openings
L0 anchor (Piso),0.0,1.0,0.58,90.74,38.11964971230208,0.9616197564844527,30
L1 Seneca (freeing),0.0,1.0,0.42,101.54,37.47616732810416,0.9542594364732919,33
L2 step move,0.08,0.92,0.6521739130434783,128.4,18.1923933639521,0.9436598208767172,30
L3 corners safe,0.0,1.0,0.58,90.74,38.11964971230208,0.9616197564844527,30
L4 annihilate only,0.0,1.0,0.58,90.74,38.11964971230208,0.9616197564844527,30
L5 7x8 board,0.0,1.0,0.54,80.98,33.09417812357456,0.9587306641508201,36
P0 anchor (blockade),0.02,0.98,0.4897959183673469,118.68,47.114199501246645,0.8169702368364665,6
P1 both win-conds,0.02,0.98,0.5102040816326531,102.5,49.160484657854916,0.8932525434887907,5
P2 step move,1.0,0.0,nan,200.0,18.1476,0.620572308161015,5
P3 placement setup,0.02,0.98,0.6326530612244898,103.78,36.76252423024266,0.9607437514760527,33
P4 9x9 board,0.0,1.0,0.8,117.12,61.403077394169465,0.14144054254182067,2
