name,games,draw_rate,draw_ci,decisiveness,p1_winrate,p1_ci,mean_plies,plies_ci,mean_branching,opening_entropy,distinct_openings
L0 anchor (Piso),12,0.25,"[0.08894003962896138, 0.53231033912066]",0.75,0.4444444444444444,"[0.188775429471914, 0.7333526542559703]",87.83333333333333,"[75.69860497530107, 99.96806169136559]",42.60597672771316,0.9788379141596312,10
L1 Seneca (freeing),12,1.0,"[0.7574992425007574, 1.0]",0.0,nan,"[nan, nan]",120.0,"[120.0, 120.0]",41.2875,1.0000000000000004,12
L2 step move,12,1.0,"[0.7574992425007574, 1.0]",0.0,nan,"[nan, nan]",120.0,"[120.0, 120.0]",20.336111111111112,0.9881090915741209,11
L3 corners safe,12,0.25,"[0.08894003962896138, 0.53231033912066]",0.75,0.5555555555555556,"[0.2666473457440297, 0.811224570528086]",94.58333333333333,"[81.26271958977593, 107.90394707689073]",41.413025097278954,0.9881090915741209,11
L4 annihilate only,12,0.25,"[0.08894003962896138, 0.53231033912066]",0.75,0.4444444444444444,"[0.188775429471914, 0.7333526542559703]",87.83333333333333,"[75.69860497530107, 99.96806169136559]",42.60597672771316,0.9788379141596312,10
L5 7x8 board,12,0.3333333333333333,"[0.13811783989736134, 0.609382412602386]",0.6666666666666666,0.625,"[0.30573785458380187, 0.863158240538479]",92.25,"[79.32037967231126, 105.17962032768874]",36.1394101564585,0.9599009323677093,10
P0 anchor (blockade),12,0.6666666666666666,"[0.3906175873976139, 0.8618821601026385]",0.3333333333333333,0.5,"[0.15003570882017148, 0.8499642911798285]",115.33333333333333,"[108.95781513296464, 121.70885153370202]",46.688119515630696,0.9602252384227168,5
P1 both win-conds,12,0.6666666666666666,"[0.3906175873976139, 0.8618821601026385]",0.3333333333333333,0.5,"[0.15003570882017148, 0.8499642911798285]",109.66666666666667,"[100.08185755763557, 119.25147577569777]",46.34273959778224,0.9269924126604479,6
P2 step move,12,1.0,"[0.7574992425007574, 1.0]",0.0,nan,"[nan, nan]",120.0,"[120.0, 120.0]",23.54861111111111,0.9517961807358447,8
P3 placement setup,12,0.5,"[0.2537781703934222, 0.7462218296065778]",0.5,0.5,"[0.18761280689940868, 0.8123871931005913]",111.58333333333333,"[102.96372712938694, 120.20293953727972]",43.339207173202034,0.9881090915741209,11
P4 9x9 board,12,0.5833333333333334,"[0.3195073356553728, 0.8067425380947535]",0.4166666666666667,0.8,"[0.3755282641185388, 0.9637768390302125]",113.5,"[106.39820082548432, 120.60179917451568]",61.80206971219678,0.9727652780181634,8
